trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-73.86090837690766,"{0: 8, 1: 7, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-135.83332741663182,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-96.83989226229343,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-112.06858961487075,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,3,-68.23940250891965,"{0: 19, 1: 3, 2: 4, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-77.15424960427724,"{0: 23, 1: 2, 2: 2, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-78.68908415083388,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-208.48922432438036,"{0: 18, 1: 2, 2: 3, 3: 4, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-133.683782018427,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-62.99699179093826,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-66.77884716352608,"{0: 25, 1: 0, 2: 2, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,5,-23.472649082095767,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-3.008802250500076,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,24.641141121484665,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-66.89191555928534,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,3,-48.85760257436299,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-23.902703508995877,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,11,7.6055379264773855,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,2,-26.130428076615303,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,3,-28.80899096905041,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,12,15.054827685161834,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,6,-134.51895271115356,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 3}",1
3,True,"{'a': 0, 'e': 0}",20,6,19.814514391714404,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,-76.52057224094654,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,14,-19.040159676452788,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",20,0,20.191011498183197,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,-10.388788872956557,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,5,-84.30134341147034,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",1
9,True,"{'a': 0, 'e': 0}",20,6,-49.14274041353045,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",20,0,-40.90982019904231,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
