trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.998}",30,0,-41.23123381512988,"{0: 20, 1: 5, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.8, 'e': 0.996}",20,0,-133.11798526737425,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.8, 'e': 0.994}",25,0,-46.51161690525464,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.8, 'e': 0.992}",35,0,-115.87785317915142,"{0: 23, 1: 5, 2: 4, 3: 2, 4: 1}",0
5,False,"{'a': 0.8, 'e': 0.99}",20,0,-66.43809756259145,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.8, 'e': 0.988}",30,16,-29.76059404150632,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 0}",1
7,False,"{'a': 0.8, 'e': 0.986}",30,0,-212.00807501028703,"{0: 16, 1: 3, 2: 6, 3: 2, 4: 3}",0
8,False,"{'a': 0.8, 'e': 0.984}",30,0,-224.8192742674801,"{0: 15, 1: 4, 2: 7, 3: 0, 4: 4}",0
9,False,"{'a': 0.8, 'e': 0.982}",35,0,-139.0283952457465,"{0: 21, 1: 3, 2: 9, 3: 1, 4: 1}",0
10,False,"{'a': 0.8, 'e': 0.98}",20,0,-151.13063139672826,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",0
11,False,"{'a': 0.8, 'e': 0.978}",20,0,-45.52450779819811,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
12,False,"{'a': 0.8, 'e': 0.976}",20,0,-71.05199727256388,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.8, 'e': 0.974}",20,0,-116.16921473686921,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.8, 'e': 0.972}",30,0,-123.20522816962969,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
